tox21,random,classification,logreg,mean-roc_auc_score,train,0.90746326941347633,valid,0.7838484698348841,test,0.80980871226537643
tox21,random,classification,logreg,mean-roc_auc_score,train,0.91159434625328417,valid,0.76451337031644195,test,0.79259652707812833
tox21,random,classification,logreg,mean-roc_auc_score,train,0.91070739733009987,valid,0.76690823613889814,test,0.77958135286164698
tox21,random,classification,kernelsvm,mean-roc_auc_score,train,0.99764741548975844,valid,0.82907973758716158,test,0.82182503927235528
tox21,random,classification,kernelsvm,mean-roc_auc_score,train,0.99767195472196224,valid,0.81093330924757023,test,0.82883910541841732
tox21,random,classification,kernelsvm,mean-roc_auc_score,train,0.99788311220213954,valid,0.81397023441799599,test,0.81647033567536376
tox21,random,classification,irv,mean-roc_auc_score,train,0.80237174260986988,valid,0.81365999691906588,test,0.80408040120469426
tox21,random,classification,irv,mean-roc_auc_score,train,0.80460654135249898,valid,0.80152958839494381,test,0.80103135608622444
tox21,random,classification,irv,mean-roc_auc_score,train,0.80820812184952706,valid,0.80459916705023693,test,0.79201395907292083
tox21,random,classification,tf,mean-roc_auc_score,train,0.88298735754280055,valid,0.8143841675926109,test,0.81626616774527305
tox21,random,classification,tf,mean-roc_auc_score,train,0.88305575092271249,valid,0.78606611272408167,test,0.79984815254352115
tox21,random,classification,tf,mean-roc_auc_score,train,0.88475447568423393,valid,0.78541531955370469,test,0.79182877778398775
tox21,random,classification,tf_robust,mean-roc_auc_score,train,0.9367098991305286,valid,0.80887867194748797,test,0.82105579910313065
tox21,random,classification,tf_robust,mean-roc_auc_score,train,0.93778271589551776,valid,0.79465235955153546,test,0.81378477408088756
tox21,random,classification,tf_robust,mean-roc_auc_score,train,0.9380733302990345,valid,0.79505479863887052,test,0.7963681201183479
tox21,random,classification,graphconv,mean-roc_auc_score,train,0.90671941175338333,valid,0.83464273389495702,test,0.83220089611224901
tox21,random,classification,graphconv,mean-roc_auc_score,train,0.90102870782008404,valid,0.830878611833473,test,0.83237079432681593
tox21,random,classification,graphconv,mean-roc_auc_score,train,0.90856391226799305,valid,0.81089906691259561,test,0.8214029967117179
tox21,random,classification,weave,mean-roc_auc_score,train,0.86997626413179274,valid,0.8352670258621383,test,0.81371442866485211
tox21,random,classification,weave,mean-roc_auc_score,train,0.87781355101504088,valid,0.82894500004252125,test,0.83108321266116081
tox21,random,classification,weave,mean-roc_auc_score,train,0.87743319596953828,valid,0.81975696067254245,test,0.8152919672879797
bace_c,scaffold,classification,logreg,mean-roc_auc_score,train,0.9587842235312285,valid,0.72219312030731619,test,0.78960573476702511
bace_c,scaffold,classification,logreg,mean-roc_auc_score,train,0.95946814260815849,valid,0.71730399860310801,test,0.77007168458781361
bace_c,scaffold,classification,logreg,mean-roc_auc_score,train,0.96056296467888891,valid,0.71765322158198019,test,0.78297491039426526
bace_c,scaffold,classification,kernelsvm,mean-roc_auc_score,train,0.98645812650296727,valid,0.73947965776148084,test,0.8618279569892473
bace_c,scaffold,classification,kernelsvm,mean-roc_auc_score,train,0.98645812650296727,valid,0.73930504627204474,test,0.86218637992831537
bace_c,scaffold,classification,kernelsvm,mean-roc_auc_score,train,0.98646088424118084,valid,0.73947965776148084,test,0.8618279569892473
bace_c,scaffold,classification,irv,mean-roc_auc_score,train,0.88704442164714181,valid,0.71599441243233808,test,0.83799283154121862
bace_c,scaffold,classification,irv,mean-roc_auc_score,train,0.88710095528051713,valid,0.71433560328269596,test,0.83853046594982072
bace_c,scaffold,classification,irv,mean-roc_auc_score,train,0.88712991153175813,valid,0.71485943775100402,test,0.83844086021505382
bace_c,scaffold,classification,tf,mean-roc_auc_score,train,0.88224044167935223,valid,0.71782783307141607,test,0.82777777777777772
bace_c,scaffold,classification,tf,mean-roc_auc_score,train,0.82398873739713641,valid,0.6540946394272743,test,0.82831541218637983
bace_c,scaffold,classification,tf,mean-roc_auc_score,train,0.88241693692501155,valid,0.71730399860310812,test,0.81738351254480279
bace_c,scaffold,classification,tf_robust,mean-roc_auc_score,train,0.93192109559423741,valid,0.72638379605378034,test,0.83602150537634401
bace_c,scaffold,classification,tf_robust,mean-roc_auc_score,train,0.92990518896022234,valid,0.75065479308538496,test,0.82347670250896055
bace_c,scaffold,classification,tf_robust,mean-roc_auc_score,train,0.93056980386965815,valid,0.75833769862056921,test,0.82688172043010755
bace_c,scaffold,classification,graphconv,mean-roc_auc_score,train,0.61497562159419328,valid,0.56259821896280771,test,0.62419354838709684
sider,random,classification,logreg,mean-roc_auc_score,train,0.91782722586185717,valid,0.62579252032775468,test,0.64144214009685152
sider,random,classification,logreg,mean-roc_auc_score,train,0.91702042079700929,valid,0.65638628547068767,test,0.65461028244021136
sider,random,classification,logreg,mean-roc_auc_score,train,0.91802555749817072,valid,0.62403507356298116,test,0.63223680240041968
bace_c,scaffold,classification,graphconv,mean-roc_auc_score,train,0.50508457983100574,valid,0.51440544787847042,test,0.52365591397849465
muv,random,classification,logreg,mean-prc_auc_score,train,0.24672030453400307,valid,0.046868395682180146,test,0.077974468451711132
sider,random,classification,kernelsvm,mean-roc_auc_score,train,0.99588954571409116,valid,0.6212249863827124,test,0.69589931207236544
bace_c,scaffold,classification,graphconv,mean-roc_auc_score,train,0.83625791470867261,valid,0.58128164833246032,test,0.72329749103942653
muv,random,classification,logreg,mean-prc_auc_score,train,0.2415432168030118,valid,0.029632809057269682,test,0.071987106690605693
sider,random,classification,kernelsvm,mean-roc_auc_score,train,0.95908834968202383,valid,0.68039617293657129,test,0.68015340630996401
