Title,File Name
An Introduction to the Polymers and Their Representation, An_Introduction_to_the_Polymers_and_Their_Representation.ipynb 
Utilizing Deepchem Molecular Models for Crystalization Tendency Regression of Polymers, crystallization_tendency_regression.ipynb
Introduction to Polymer SMILES, Introduction_to_Polymer_SMILES.ipynb
Understanding Weighted Directed Graphs for Polymer Implementations, Understanding_Weighted_Directed_Graphs_for_Polymer_Implimentations.ipynb
PolyBERT: Introduction to Chemical Language Models for Fingerprint Generation, PolyBERT___Introduction_to_Chemical_Language_Models_for_Fingerprint_Generation.ipynb
